section,metric,value
ping,transmitted,5
ping,received,5
ping,packet_loss_percent,0.0
ping,min_latency_ms,0.234
ping,avg_latency_ms,0.726
ping,max_latency_ms,1.236
ping,mdev_latency_ms,0.362
iperf3,throughput_mbps,9.51936648698906
iperf3,retransmits,
iperf3,seconds,5.838049
traceroute,hops,"['172.30.0.254', '172.31.0.10']"
validation,packet_loss,True observed=0.0
validation,avg_latency,True observed=0.726
validation,min_throughput,True observed=9.519
validation,max_throughput,True observed=9.519
validation,expected_hops,"True observed=['172.30.0.254', '172.31.0.10']"
